tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.8412698412698413
11,1,0.21,0.8412698412698413
16,1,0.21,0.8412698412698413
21,1,0.21,0.8412698412698413
26,1,0.21,0.8412698412698413
31,1,0.21,0.8412698412698413
36,1,0.21,0.8412698412698413
41,1,0.21,0.8412698412698413
46,1,0.21,0.8412698412698413
51,1,0.21,0.8412698412698413
56,1,0.21,0.8412698412698413
61,1,0.21,0.8412698412698413
66,1,0.21,0.8412698412698413
71,1,0.21,0.8412698412698413
76,1,0.21,0.8412698412698413
81,1,0.21,0.8412698412698413
86,1,0.21,0.8412698412698413
91,1,0.21,0.8412698412698413
96,1,0.21,0.8412698412698413
101,1,0.21,0.8412698412698413
106,1,0.21,0.8412698412698413
111,1,0.21,0.8412698412698413
116,1,0.21,0.8412698412698413
121,1,0.21,0.8412698412698413
126,1,0.21,0.8412698412698413
131,1,0.21,0.8412698412698413
136,1,0.21,0.8412698412698413
141,1,0.21,0.8412698412698413
146,1,0.21,0.8412698412698413
151,1,0.21,0.8412698412698413
156,1,0.21,0.8412698412698413
161,1,0.21,0.8412698412698413
166,1,0.21,0.8412698412698413
171,1,0.21,0.8412698412698413
176,1,0.21,0.8412698412698413
181,1,0.21,0.8412698412698413
186,1,0.21,0.8412698412698413
191,1,0.21,0.8412698412698413
196,1,0.21,0.8412698412698413
201,1,0.21,0.8412698412698413
206,1,0.21,0.8412698412698413
211,1,0.21,0.8412698412698413
216,1,0.21,0.8412698412698413
221,1,0.21,0.8412698412698413
226,1,0.21,0.8412698412698413
231,1,0.21,0.8412698412698413
236,1,0.21,0.8412698412698413
241,1,0.21,0.8412698412698413
246,1,0.21,0.8412698412698413
251,1,0.21,0.8412698412698413
256,1,0.21,0.8412698412698413
261,1,0.21,0.8412698412698413
266,1,0.21,0.8412698412698413
271,1,0.21,0.8412698412698413
276,1,0.21,0.8412698412698413
281,1,0.21,0.8412698412698413
286,1,0.21,0.8412698412698413
291,1,0.21,0.8412698412698413
296,1,0.21,0.8412698412698413
301,1,0.21,0.8412698412698413
