tick,n_assemblies,mean_energy_global,reward
6,1,0.209475,0.4275
11,1,0.209475,0.4275
16,1,0.209475,0.4275
21,1,0.209475,0.4275
26,1,0.209475,0.4275
31,1,0.209475,0.4275
36,1,0.209475,0.4275
41,1,0.209475,0.4275
46,1,0.209475,0.4275
51,1,0.209475,0.4275
56,1,0.209475,0.4275
61,1,0.209475,0.4275
66,1,0.209475,0.4275
71,1,0.209475,0.4275
76,1,0.209475,0.4275
81,1,0.209475,0.4275
86,1,0.209475,0.4275
91,1,0.209475,0.4275
96,1,0.209475,0.4275
101,1,0.209475,0.4275
106,1,0.209475,0.4275
111,1,0.209475,0.4275
116,1,0.209475,0.4275
121,1,0.209475,0.4275
126,1,0.209475,0.4275
131,1,0.209475,0.4275
136,1,0.209475,0.4275
141,1,0.209475,0.4275
146,1,0.209475,0.4275
151,1,0.209475,0.4275
156,1,0.209475,0.4275
161,1,0.209475,0.4275
166,1,0.209475,0.4275
171,1,0.209475,0.4275
176,1,0.209475,0.4275
181,1,0.209475,0.4275
186,1,0.209475,0.4275
191,1,0.209475,0.4275
196,1,0.209475,0.4275
201,1,0.209475,0.4275
206,1,0.209475,0.4275
211,1,0.209475,0.4275
216,1,0.209475,0.4275
221,1,0.209475,0.4275
226,1,0.209475,0.4275
231,1,0.209475,0.4275
236,1,0.209475,0.4275
241,1,0.209475,0.4275
246,1,0.209475,0.4275
251,1,0.209475,0.4275
256,1,0.209475,0.4275
261,1,0.209475,0.4275
266,1,0.209475,0.4275
271,1,0.209475,0.4275
276,1,0.209475,0.4275
281,1,0.209475,0.4275
286,1,0.209475,0.4275
291,1,0.209475,0.4275
296,1,0.209475,0.4275
301,1,0.209475,0.4275
