tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.6790123456790124
11,1,0.21,0.6790123456790124
16,1,0.21,0.6790123456790124
21,1,0.21,0.6790123456790124
26,1,0.21,0.6790123456790124
31,1,0.21,0.6790123456790124
36,1,0.21,0.6790123456790124
41,1,0.21,0.6790123456790124
46,1,0.21,0.6790123456790124
51,1,0.21,0.6790123456790124
56,1,0.21,0.6790123456790124
61,1,0.21,0.6790123456790124
66,1,0.21,0.6790123456790124
71,1,0.21,0.6790123456790124
76,1,0.21,0.6790123456790124
81,1,0.21,0.6790123456790124
86,1,0.21,0.6790123456790124
91,1,0.21,0.6790123456790124
96,1,0.21,0.6790123456790124
101,1,0.21,0.6790123456790124
106,1,0.21,0.6790123456790124
111,1,0.21,0.6790123456790124
116,1,0.21,0.6790123456790124
121,1,0.21,0.6790123456790124
126,1,0.21,0.6790123456790124
131,1,0.21,0.6790123456790124
136,1,0.21,0.6790123456790124
141,1,0.21,0.6790123456790124
146,1,0.21,0.6790123456790124
151,1,0.21,0.6790123456790124
156,1,0.21,0.6790123456790124
161,1,0.21,0.6790123456790124
166,1,0.21,0.6790123456790124
171,1,0.21,0.6790123456790124
176,1,0.21,0.6790123456790124
181,1,0.21,0.6790123456790124
186,1,0.21,0.6790123456790124
191,1,0.21,0.6790123456790124
196,1,0.21,0.6790123456790124
201,1,0.21,0.6790123456790124
206,1,0.21,0.6790123456790124
211,1,0.21,0.6790123456790124
216,1,0.21,0.6790123456790124
221,1,0.21,0.6790123456790124
226,1,0.21,0.6790123456790124
231,1,0.21,0.6790123456790124
236,1,0.21,0.6790123456790124
241,1,0.21,0.6790123456790124
246,1,0.21,0.6790123456790124
251,1,0.21,0.6790123456790124
256,1,0.21,0.6790123456790124
261,1,0.21,0.6790123456790124
266,1,0.21,0.6790123456790124
271,1,0.21,0.6790123456790124
276,1,0.21,0.6790123456790124
281,1,0.21,0.6790123456790124
286,1,0.21,0.6790123456790124
291,1,0.21,0.6790123456790124
296,1,0.21,0.6790123456790124
301,1,0.21,0.6790123456790124
