tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.9126984126984127
11,1,0.21,0.9126984126984127
16,1,0.21,0.9126984126984127
21,1,0.21,0.9126984126984127
26,1,0.21,0.9126984126984127
31,1,0.21,0.9126984126984127
36,1,0.21,0.9126984126984127
41,1,0.21,0.9126984126984127
46,1,0.21,0.9126984126984127
51,1,0.21,0.9126984126984127
56,1,0.21,0.9126984126984127
61,1,0.21,0.9126984126984127
66,1,0.21,0.9126984126984127
71,1,0.21,0.9126984126984127
76,1,0.21,0.9126984126984127
81,1,0.21,0.9126984126984127
86,1,0.21,0.9126984126984127
91,1,0.21,0.9126984126984127
96,1,0.21,0.9126984126984127
101,1,0.21,0.9126984126984127
106,1,0.21,0.9126984126984127
111,1,0.21,0.9126984126984127
116,1,0.21,0.9126984126984127
121,1,0.21,0.9126984126984127
126,1,0.21,0.9126984126984127
131,1,0.21,0.9126984126984127
136,1,0.21,0.9126984126984127
141,1,0.21,0.9126984126984127
146,1,0.21,0.9126984126984127
151,1,0.21,0.9126984126984127
156,1,0.21,0.9126984126984127
161,1,0.21,0.9126984126984127
166,1,0.21,0.9126984126984127
171,1,0.21,0.9126984126984127
176,1,0.21,0.9126984126984127
181,1,0.21,0.9126984126984127
186,1,0.21,0.9126984126984127
191,1,0.21,0.9126984126984127
196,1,0.21,0.9126984126984127
201,1,0.21,0.9126984126984127
206,1,0.21,0.9126984126984127
211,1,0.21,0.9126984126984127
216,1,0.21,0.9126984126984127
221,1,0.21,0.9126984126984127
226,1,0.21,0.9126984126984127
231,1,0.21,0.9126984126984127
236,1,0.21,0.9126984126984127
241,1,0.21,0.9126984126984127
246,1,0.21,0.9126984126984127
251,1,0.21,0.9126984126984127
256,1,0.21,0.9126984126984127
261,1,0.21,0.9126984126984127
266,1,0.21,0.9126984126984127
271,1,0.21,0.9126984126984127
276,1,0.21,0.9126984126984127
281,1,0.21,0.9126984126984127
286,1,0.21,0.9126984126984127
291,1,0.21,0.9126984126984127
296,1,0.21,0.9126984126984127
301,1,0.21,0.9126984126984127
