tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.875
11,1,0.21,0.875
16,1,0.21,0.875
21,1,0.21,0.875
26,1,0.21,0.875
31,1,0.21,0.875
36,1,0.21,0.875
41,1,0.21,0.875
46,1,0.21,0.875
51,1,0.21,0.875
56,1,0.21,0.875
61,1,0.21,0.875
66,1,0.21,0.875
71,1,0.21,0.875
76,1,0.21,0.875
81,1,0.21,0.875
86,1,0.21,0.875
91,1,0.21,0.875
96,1,0.21,0.875
101,1,0.21,0.875
106,1,0.21,0.875
111,1,0.21,0.875
116,1,0.21,0.875
121,1,0.21,0.875
126,1,0.21,0.875
131,1,0.21,0.875
136,1,0.21,0.875
141,1,0.21,0.875
146,1,0.21,0.875
151,1,0.21,0.875
156,1,0.21,0.875
161,1,0.21,0.875
166,1,0.21,0.875
171,1,0.21,0.875
176,1,0.21,0.875
181,1,0.21,0.875
186,1,0.21,0.875
191,1,0.21,0.875
196,1,0.21,0.875
201,1,0.21,0.875
206,1,0.21,0.875
211,1,0.21,0.875
216,1,0.21,0.875
221,1,0.21,0.875
226,1,0.21,0.875
231,1,0.21,0.875
236,1,0.21,0.875
241,1,0.21,0.875
246,1,0.21,0.875
251,1,0.21,0.875
256,1,0.21,0.875
261,1,0.21,0.875
266,1,0.21,0.875
271,1,0.21,0.875
276,1,0.21,0.875
281,1,0.21,0.875
286,1,0.21,0.875
291,1,0.21,0.875
296,1,0.21,0.875
301,1,0.21,0.875
