tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.9256198347107438
11,1,0.21,0.9256198347107438
16,1,0.21,0.9256198347107438
21,1,0.21,0.9256198347107438
26,1,0.21,0.9256198347107438
31,1,0.21,0.9256198347107438
36,1,0.21,0.9256198347107438
41,1,0.21,0.9256198347107438
46,1,0.21,0.9256198347107438
51,1,0.21,0.9256198347107438
56,1,0.21,0.9256198347107438
61,1,0.21,0.9256198347107438
66,1,0.21,0.9256198347107438
71,1,0.21,0.9256198347107438
76,1,0.21,0.9256198347107438
81,1,0.21,0.9256198347107438
86,1,0.21,0.9256198347107438
91,1,0.21,0.9256198347107438
96,1,0.21,0.9256198347107438
101,1,0.21,0.9256198347107438
106,1,0.21,0.9256198347107438
111,1,0.21,0.9256198347107438
116,1,0.21,0.9256198347107438
121,1,0.21,0.9256198347107438
126,1,0.21,0.9256198347107438
131,1,0.21,0.9256198347107438
136,1,0.21,0.9256198347107438
141,1,0.21,0.9256198347107438
146,1,0.21,0.9256198347107438
151,1,0.21,0.9256198347107438
156,1,0.21,0.9256198347107438
161,1,0.21,0.9256198347107438
166,1,0.21,0.9256198347107438
171,1,0.21,0.9256198347107438
176,1,0.21,0.9256198347107438
181,1,0.21,0.9256198347107438
186,1,0.21,0.9256198347107438
191,1,0.21,0.9256198347107438
196,1,0.21,0.9256198347107438
201,1,0.21,0.9256198347107438
206,1,0.21,0.9256198347107438
211,1,0.21,0.9256198347107438
216,1,0.21,0.9256198347107438
221,1,0.21,0.9256198347107438
226,1,0.21,0.9256198347107438
231,1,0.21,0.9256198347107438
236,1,0.21,0.9256198347107438
241,1,0.21,0.9256198347107438
246,1,0.21,0.9256198347107438
251,1,0.21,0.9256198347107438
256,1,0.21,0.9256198347107438
261,1,0.21,0.9256198347107438
266,1,0.21,0.9256198347107438
271,1,0.21,0.9256198347107438
276,1,0.21,0.9256198347107438
281,1,0.21,0.9256198347107438
286,1,0.21,0.9256198347107438
291,1,0.21,0.9256198347107438
296,1,0.21,0.9256198347107438
301,1,0.21,0.9256198347107438
