tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.7878787878787878
11,1,0.21,0.7878787878787878
16,1,0.21,0.7878787878787878
21,1,0.21,0.7878787878787878
26,1,0.21,0.7878787878787878
31,1,0.21,0.7878787878787878
36,1,0.21,0.7878787878787878
41,1,0.21,0.7878787878787878
46,1,0.21,0.7878787878787878
51,1,0.21,0.7878787878787878
56,1,0.21,0.7878787878787878
61,1,0.21,0.7878787878787878
66,1,0.21,0.7878787878787878
71,1,0.21,0.7878787878787878
76,1,0.21,0.7878787878787878
81,1,0.21,0.7878787878787878
86,1,0.21,0.7878787878787878
91,1,0.21,0.7878787878787878
96,1,0.21,0.7878787878787878
101,1,0.21,0.7878787878787878
106,1,0.21,0.7878787878787878
111,1,0.21,0.7878787878787878
116,1,0.21,0.7878787878787878
121,1,0.21,0.7878787878787878
126,1,0.21,0.7878787878787878
131,1,0.21,0.7878787878787878
136,1,0.21,0.7878787878787878
141,1,0.21,0.7878787878787878
146,1,0.21,0.7878787878787878
151,1,0.21,0.7878787878787878
156,1,0.21,0.7878787878787878
161,1,0.21,0.7878787878787878
166,1,0.21,0.7878787878787878
171,1,0.21,0.7878787878787878
176,1,0.21,0.7878787878787878
181,1,0.21,0.7878787878787878
186,1,0.21,0.7878787878787878
191,1,0.21,0.7878787878787878
196,1,0.21,0.7878787878787878
201,1,0.21,0.7878787878787878
206,1,0.21,0.7878787878787878
211,1,0.21,0.7878787878787878
216,1,0.21,0.7878787878787878
221,1,0.21,0.7878787878787878
226,1,0.21,0.7878787878787878
231,1,0.21,0.7878787878787878
236,1,0.21,0.7878787878787878
241,1,0.21,0.7878787878787878
246,1,0.21,0.7878787878787878
251,1,0.21,0.7878787878787878
256,1,0.21,0.7878787878787878
261,1,0.21,0.7878787878787878
266,1,0.21,0.7878787878787878
271,1,0.21,0.7878787878787878
276,1,0.21,0.7878787878787878
281,1,0.21,0.7878787878787878
286,1,0.21,0.7878787878787878
291,1,0.21,0.7878787878787878
296,1,0.21,0.7878787878787878
301,1,0.21,0.7878787878787878
