tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.8801169590643275
11,1,0.21,0.8801169590643275
16,1,0.21,0.8801169590643275
21,1,0.21,0.8801169590643275
26,1,0.21,0.8801169590643275
31,1,0.21,0.8801169590643275
36,1,0.21,0.8801169590643275
41,1,0.21,0.8801169590643275
46,1,0.21,0.8801169590643275
51,1,0.21,0.8801169590643275
56,1,0.21,0.8801169590643275
61,1,0.21,0.8801169590643275
66,1,0.21,0.8801169590643275
71,1,0.21,0.8801169590643275
76,1,0.21,0.8801169590643275
81,1,0.21,0.8801169590643275
86,1,0.21,0.8801169590643275
91,1,0.21,0.8801169590643275
96,1,0.21,0.8801169590643275
101,1,0.21,0.8801169590643275
106,1,0.21,0.8801169590643275
111,1,0.21,0.8801169590643275
116,1,0.21,0.8801169590643275
121,1,0.21,0.8801169590643275
126,1,0.21,0.8801169590643275
131,1,0.21,0.8801169590643275
136,1,0.21,0.8801169590643275
141,1,0.21,0.8801169590643275
146,1,0.21,0.8801169590643275
151,1,0.21,0.8801169590643275
156,1,0.21,0.8801169590643275
161,1,0.21,0.8801169590643275
166,1,0.21,0.8801169590643275
171,1,0.21,0.8801169590643275
176,1,0.21,0.8801169590643275
181,1,0.21,0.8801169590643275
186,1,0.21,0.8801169590643275
191,1,0.21,0.8801169590643275
196,1,0.21,0.8801169590643275
201,1,0.21,0.8801169590643275
206,1,0.21,0.8801169590643275
211,1,0.21,0.8801169590643275
216,1,0.21,0.8801169590643275
221,1,0.21,0.8801169590643275
226,1,0.21,0.8801169590643275
231,1,0.21,0.8801169590643275
236,1,0.21,0.8801169590643275
241,1,0.21,0.8801169590643275
246,1,0.21,0.8801169590643275
251,1,0.21,0.8801169590643275
256,1,0.21,0.8801169590643275
261,1,0.21,0.8801169590643275
266,1,0.21,0.8801169590643275
271,1,0.21,0.8801169590643275
276,1,0.21,0.8801169590643275
281,1,0.21,0.8801169590643275
286,1,0.21,0.8801169590643275
291,1,0.21,0.8801169590643275
296,1,0.21,0.8801169590643275
301,1,0.21,0.8801169590643275
