tick,n_assemblies,mean_energy_global,reward
6,1,0.204,0.34285714285714286
11,1,0.204,0.34285714285714286
16,1,0.204,0.34285714285714286
21,1,0.204,0.34285714285714286
26,1,0.204,0.34285714285714286
31,1,0.204,0.34285714285714286
36,1,0.204,0.34285714285714286
41,1,0.204,0.34285714285714286
46,1,0.204,0.34285714285714286
51,1,0.204,0.34285714285714286
56,1,0.204,0.34285714285714286
61,1,0.204,0.34285714285714286
66,1,0.204,0.34285714285714286
71,1,0.204,0.34285714285714286
76,1,0.204,0.34285714285714286
81,1,0.204,0.34285714285714286
86,1,0.204,0.34285714285714286
91,1,0.204,0.34285714285714286
96,1,0.204,0.34285714285714286
101,1,0.204,0.34285714285714286
106,1,0.204,0.34285714285714286
111,1,0.204,0.34285714285714286
116,1,0.204,0.34285714285714286
121,1,0.204,0.34285714285714286
126,1,0.204,0.34285714285714286
131,1,0.204,0.34285714285714286
136,1,0.204,0.34285714285714286
141,1,0.204,0.34285714285714286
146,1,0.204,0.34285714285714286
151,1,0.204,0.34285714285714286
156,1,0.204,0.34285714285714286
161,1,0.204,0.34285714285714286
166,1,0.204,0.34285714285714286
171,1,0.204,0.34285714285714286
176,1,0.204,0.34285714285714286
181,1,0.204,0.34285714285714286
186,1,0.204,0.34285714285714286
191,1,0.204,0.34285714285714286
196,1,0.204,0.34285714285714286
201,1,0.204,0.34285714285714286
206,1,0.204,0.34285714285714286
211,1,0.204,0.34285714285714286
216,1,0.204,0.34285714285714286
221,1,0.204,0.34285714285714286
226,1,0.204,0.34285714285714286
231,1,0.204,0.34285714285714286
236,1,0.204,0.34285714285714286
241,1,0.204,0.34285714285714286
246,1,0.204,0.34285714285714286
251,1,0.204,0.34285714285714286
256,1,0.204,0.34285714285714286
261,1,0.204,0.34285714285714286
266,1,0.204,0.34285714285714286
271,1,0.204,0.34285714285714286
276,1,0.204,0.34285714285714286
281,1,0.204,0.34285714285714286
286,1,0.204,0.34285714285714286
291,1,0.204,0.34285714285714286
296,1,0.204,0.34285714285714286
301,1,0.204,0.34285714285714286
