tick,n_assemblies,mean_energy_global,reward
6,1,0.2079,0.77
11,1,0.2079,0.77
16,1,0.2079,0.77
21,1,0.2079,0.77
26,1,0.2079,0.77
31,1,0.2079,0.77
36,1,0.2079,0.77
41,1,0.2079,0.77
46,1,0.2079,0.77
51,1,0.2079,0.77
56,1,0.2079,0.77
61,1,0.2079,0.77
66,1,0.2079,0.77
71,1,0.2079,0.77
76,1,0.2079,0.77
81,1,0.2079,0.77
86,1,0.2079,0.77
91,1,0.2079,0.77
96,1,0.2079,0.77
101,1,0.2079,0.77
106,1,0.2079,0.77
111,1,0.2079,0.77
116,1,0.2079,0.77
121,1,0.2079,0.77
126,1,0.2079,0.77
131,1,0.2079,0.77
136,1,0.2079,0.77
141,1,0.2079,0.77
146,1,0.2079,0.77
151,1,0.2079,0.77
156,1,0.2079,0.77
161,1,0.2079,0.77
166,1,0.2079,0.77
171,1,0.2079,0.77
176,1,0.2079,0.77
181,1,0.2079,0.77
186,1,0.2079,0.77
191,1,0.2079,0.77
196,1,0.2079,0.77
201,1,0.2079,0.77
206,1,0.2079,0.77
211,1,0.2079,0.77
216,1,0.2079,0.77
221,1,0.2079,0.77
226,1,0.2079,0.77
231,1,0.2079,0.77
236,1,0.2079,0.77
241,1,0.2079,0.77
246,1,0.2079,0.77
251,1,0.2079,0.77
256,1,0.2079,0.77
261,1,0.2079,0.77
266,1,0.2079,0.77
271,1,0.2079,0.77
276,1,0.2079,0.77
281,1,0.2079,0.77
286,1,0.2079,0.77
291,1,0.2079,0.77
296,1,0.2079,0.77
301,1,0.2079,0.77
