tick,n_assemblies,mean_energy_global,reward
6,1,0.20913043478260868,0.25465838509316774
11,1,0.20913043478260868,0.25465838509316774
16,1,0.20913043478260868,0.25465838509316774
21,1,0.20913043478260868,0.25465838509316774
26,1,0.20913043478260868,0.25465838509316774
31,1,0.20913043478260868,0.25465838509316774
36,1,0.20913043478260868,0.25465838509316774
41,1,0.20913043478260868,0.25465838509316774
46,1,0.20913043478260868,0.25465838509316774
51,1,0.20913043478260868,0.25465838509316774
56,1,0.20913043478260868,0.25465838509316774
61,1,0.20913043478260868,0.25465838509316774
66,1,0.20913043478260868,0.25465838509316774
71,1,0.20913043478260868,0.25465838509316774
76,1,0.20913043478260868,0.25465838509316774
81,1,0.20913043478260868,0.25465838509316774
86,1,0.20913043478260868,0.25465838509316774
91,1,0.20913043478260868,0.25465838509316774
96,1,0.20913043478260868,0.25465838509316774
101,1,0.20913043478260868,0.25465838509316774
106,1,0.20913043478260868,0.25465838509316774
111,1,0.20913043478260868,0.25465838509316774
116,1,0.20913043478260868,0.25465838509316774
121,1,0.20913043478260868,0.25465838509316774
126,1,0.20913043478260868,0.25465838509316774
131,1,0.20913043478260868,0.25465838509316774
136,1,0.20913043478260868,0.25465838509316774
141,1,0.20913043478260868,0.25465838509316774
146,1,0.20913043478260868,0.25465838509316774
151,1,0.20913043478260868,0.25465838509316774
156,1,0.20913043478260868,0.25465838509316774
161,1,0.20913043478260868,0.25465838509316774
166,1,0.20913043478260868,0.25465838509316774
171,1,0.20913043478260868,0.25465838509316774
176,1,0.20913043478260868,0.25465838509316774
181,1,0.20913043478260868,0.25465838509316774
186,1,0.20913043478260868,0.25465838509316774
191,1,0.20913043478260868,0.25465838509316774
196,1,0.20913043478260868,0.25465838509316774
201,1,0.20913043478260868,0.25465838509316774
206,1,0.20913043478260868,0.25465838509316774
211,1,0.20913043478260868,0.25465838509316774
216,1,0.20913043478260868,0.25465838509316774
221,1,0.20913043478260868,0.25465838509316774
226,1,0.20913043478260868,0.25465838509316774
231,1,0.20913043478260868,0.25465838509316774
236,1,0.20913043478260868,0.25465838509316774
241,1,0.20913043478260868,0.25465838509316774
246,1,0.20913043478260868,0.25465838509316774
251,1,0.20913043478260868,0.25465838509316774
256,1,0.20913043478260868,0.25465838509316774
261,1,0.20913043478260868,0.25465838509316774
266,1,0.20913043478260868,0.25465838509316774
271,1,0.20913043478260868,0.25465838509316774
276,1,0.20913043478260868,0.25465838509316774
281,1,0.20913043478260868,0.25465838509316774
286,1,0.20913043478260868,0.25465838509316774
291,1,0.20913043478260868,0.25465838509316774
296,1,0.20913043478260868,0.25465838509316774
301,1,0.20913043478260868,0.25465838509316774
