tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.925
11,1,0.21,0.925
16,1,0.21,0.925
21,1,0.21,0.925
26,1,0.21,0.925
31,1,0.21,0.925
36,1,0.21,0.925
41,1,0.21,0.925
46,1,0.21,0.925
51,1,0.21,0.925
56,1,0.21,0.925
61,1,0.21,0.925
66,1,0.21,0.925
71,1,0.21,0.925
76,1,0.21,0.925
81,1,0.21,0.925
86,1,0.21,0.925
91,1,0.21,0.925
96,1,0.21,0.925
101,1,0.21,0.925
106,1,0.21,0.925
111,1,0.21,0.925
116,1,0.21,0.925
121,1,0.21,0.925
126,1,0.21,0.925
131,1,0.21,0.925
136,1,0.21,0.925
141,1,0.21,0.925
146,1,0.21,0.925
151,1,0.21,0.925
156,1,0.21,0.925
161,1,0.21,0.925
166,1,0.21,0.925
171,1,0.21,0.925
176,1,0.21,0.925
181,1,0.21,0.925
186,1,0.21,0.925
191,1,0.21,0.925
196,1,0.21,0.925
201,1,0.21,0.925
206,1,0.21,0.925
211,1,0.21,0.925
216,1,0.21,0.925
221,1,0.21,0.925
226,1,0.21,0.925
231,1,0.21,0.925
236,1,0.21,0.925
241,1,0.21,0.925
246,1,0.21,0.925
251,1,0.21,0.925
256,1,0.21,0.925
261,1,0.21,0.925
266,1,0.21,0.925
271,1,0.21,0.925
276,1,0.21,0.925
281,1,0.21,0.925
286,1,0.21,0.925
291,1,0.21,0.925
296,1,0.21,0.925
301,1,0.21,0.925
