tick,n_assemblies,mean_energy_global,reward
6,0,0.0,0.625
11,0,0.0,0.625
16,0,0.0,0.625
21,0,0.0,0.625
26,0,0.0,0.625
31,0,0.0,0.625
36,0,0.0,0.625
41,0,0.0,0.625
46,0,0.0,0.625
51,0,0.0,0.625
56,0,0.0,0.625
61,0,0.0,0.625
66,0,0.0,0.625
71,0,0.0,0.625
76,0,0.0,0.625
81,0,0.0,0.625
86,0,0.0,0.625
91,0,0.0,0.625
96,0,0.0,0.625
101,0,0.0,0.625
106,0,0.0,0.625
111,0,0.0,0.625
116,0,0.0,0.625
121,0,0.0,0.625
126,0,0.0,0.625
131,0,0.0,0.625
136,0,0.0,0.625
141,0,0.0,0.625
146,0,0.0,0.625
151,0,0.0,0.625
156,0,0.0,0.625
161,0,0.0,0.625
166,0,0.0,0.625
171,0,0.0,0.625
176,0,0.0,0.625
181,0,0.0,0.625
186,0,0.0,0.625
191,0,0.0,0.625
196,0,0.0,0.625
201,0,0.0,0.625
206,0,0.0,0.625
211,0,0.0,0.625
216,0,0.0,0.625
221,0,0.0,0.625
226,0,0.0,0.625
231,0,0.0,0.625
236,0,0.0,0.625
241,0,0.0,0.625
246,0,0.0,0.625
251,0,0.0,0.625
256,0,0.0,0.625
261,0,0.0,0.625
266,0,0.0,0.625
271,0,0.0,0.625
276,0,0.0,0.625
281,0,0.0,0.625
286,0,0.0,0.625
291,0,0.0,0.625
296,0,0.0,0.625
301,0,0.0,0.625
