tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.7197231833910034
11,1,0.21,0.7197231833910034
16,1,0.21,0.7197231833910034
21,1,0.21,0.7197231833910034
26,1,0.21,0.7197231833910034
31,1,0.21,0.7197231833910034
36,1,0.21,0.7197231833910034
41,1,0.21,0.7197231833910034
46,1,0.21,0.7197231833910034
51,1,0.21,0.7197231833910034
56,1,0.21,0.7197231833910034
61,1,0.21,0.7197231833910034
66,1,0.21,0.7197231833910034
71,1,0.21,0.7197231833910034
76,1,0.21,0.7197231833910034
81,1,0.21,0.7197231833910034
86,1,0.21,0.7197231833910034
91,1,0.21,0.7197231833910034
96,1,0.21,0.7197231833910034
101,1,0.21,0.7197231833910034
106,1,0.21,0.7197231833910034
111,1,0.21,0.7197231833910034
116,1,0.21,0.7197231833910034
121,1,0.21,0.7197231833910034
126,1,0.21,0.7197231833910034
131,1,0.21,0.7197231833910034
136,1,0.21,0.7197231833910034
141,1,0.21,0.7197231833910034
146,1,0.21,0.7197231833910034
151,1,0.21,0.7197231833910034
156,1,0.21,0.7197231833910034
161,1,0.21,0.7197231833910034
166,1,0.21,0.7197231833910034
171,1,0.21,0.7197231833910034
176,1,0.21,0.7197231833910034
181,1,0.21,0.7197231833910034
186,1,0.21,0.7197231833910034
191,1,0.21,0.7197231833910034
196,1,0.21,0.7197231833910034
201,1,0.21,0.7197231833910034
206,1,0.21,0.7197231833910034
211,1,0.21,0.7197231833910034
216,1,0.21,0.7197231833910034
221,1,0.21,0.7197231833910034
226,1,0.21,0.7197231833910034
231,1,0.21,0.7197231833910034
236,1,0.21,0.7197231833910034
241,1,0.21,0.7197231833910034
246,1,0.21,0.7197231833910034
251,1,0.21,0.7197231833910034
256,1,0.21,0.7197231833910034
261,1,0.21,0.7197231833910034
266,1,0.21,0.7197231833910034
271,1,0.21,0.7197231833910034
276,1,0.21,0.7197231833910034
281,1,0.21,0.7197231833910034
286,1,0.21,0.7197231833910034
291,1,0.21,0.7197231833910034
296,1,0.21,0.7197231833910034
301,1,0.21,0.7197231833910034
