tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.89
11,1,0.21,0.89
16,1,0.21,0.89
21,1,0.21,0.89
26,1,0.21,0.89
31,1,0.21,0.89
36,1,0.21,0.89
41,1,0.21,0.89
46,1,0.21,0.89
51,1,0.21,0.89
56,1,0.21,0.89
61,1,0.21,0.89
66,1,0.21,0.89
71,1,0.21,0.89
76,1,0.21,0.89
81,1,0.21,0.89
86,1,0.21,0.89
91,1,0.21,0.89
96,1,0.21,0.89
101,1,0.21,0.89
106,1,0.21,0.89
111,1,0.21,0.89
116,1,0.21,0.89
121,1,0.21,0.89
126,1,0.21,0.89
131,1,0.21,0.89
136,1,0.21,0.89
141,1,0.21,0.89
146,1,0.21,0.89
151,1,0.21,0.89
156,1,0.21,0.89
161,1,0.21,0.89
166,1,0.21,0.89
171,1,0.21,0.89
176,1,0.21,0.89
181,1,0.21,0.89
186,1,0.21,0.89
191,1,0.21,0.89
196,1,0.21,0.89
201,1,0.21,0.89
206,1,0.21,0.89
211,1,0.21,0.89
216,1,0.21,0.89
221,1,0.21,0.89
226,1,0.21,0.89
231,1,0.21,0.89
236,1,0.21,0.89
241,1,0.21,0.89
246,1,0.21,0.89
251,1,0.21,0.89
256,1,0.21,0.89
261,1,0.21,0.89
266,1,0.21,0.89
271,1,0.21,0.89
276,1,0.21,0.89
281,1,0.21,0.89
286,1,0.21,0.89
291,1,0.21,0.89
296,1,0.21,0.89
301,1,0.21,0.89
