tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.94
11,1,0.21,0.94
16,1,0.21,0.94
21,1,0.21,0.94
26,1,0.21,0.94
31,1,0.21,0.94
36,1,0.21,0.94
41,1,0.21,0.94
46,1,0.21,0.94
51,1,0.21,0.94
56,1,0.21,0.94
61,1,0.21,0.94
66,1,0.21,0.94
71,1,0.21,0.94
76,1,0.21,0.94
81,1,0.21,0.94
86,1,0.21,0.94
91,1,0.21,0.94
96,1,0.21,0.94
101,1,0.21,0.94
106,1,0.21,0.94
111,1,0.21,0.94
116,1,0.21,0.94
121,1,0.21,0.94
126,1,0.21,0.94
131,1,0.21,0.94
136,1,0.21,0.94
141,1,0.21,0.94
146,1,0.21,0.94
151,1,0.21,0.94
156,1,0.21,0.94
161,1,0.21,0.94
166,1,0.21,0.94
171,1,0.21,0.94
176,1,0.21,0.94
181,1,0.21,0.94
186,1,0.21,0.94
191,1,0.21,0.94
196,1,0.21,0.94
201,1,0.21,0.94
206,1,0.21,0.94
211,1,0.21,0.94
216,1,0.21,0.94
221,1,0.21,0.94
226,1,0.21,0.94
231,1,0.21,0.94
236,1,0.21,0.94
241,1,0.21,0.94
246,1,0.21,0.94
251,1,0.21,0.94
256,1,0.21,0.94
261,1,0.21,0.94
266,1,0.21,0.94
271,1,0.21,0.94
276,1,0.21,0.94
281,1,0.21,0.94
286,1,0.21,0.94
291,1,0.21,0.94
296,1,0.21,0.94
301,1,0.21,0.94
