tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.76
11,1,0.21,0.76
16,1,0.21,0.76
21,1,0.21,0.76
26,1,0.21,0.76
31,1,0.21,0.76
36,1,0.21,0.76
41,1,0.21,0.76
46,1,0.21,0.76
51,1,0.21,0.76
56,1,0.21,0.76
61,1,0.21,0.76
66,1,0.21,0.76
71,1,0.21,0.76
76,1,0.21,0.76
81,1,0.21,0.76
86,1,0.21,0.76
91,1,0.21,0.76
96,1,0.21,0.76
101,1,0.21,0.76
106,1,0.21,0.76
111,1,0.21,0.76
116,1,0.21,0.76
121,1,0.21,0.76
126,1,0.21,0.76
131,1,0.21,0.76
136,1,0.21,0.76
141,1,0.21,0.76
146,1,0.21,0.76
151,1,0.21,0.76
156,1,0.21,0.76
161,1,0.21,0.76
166,1,0.21,0.76
171,1,0.21,0.76
176,1,0.21,0.76
181,1,0.21,0.76
186,1,0.21,0.76
191,1,0.21,0.76
196,1,0.21,0.76
201,1,0.21,0.76
206,1,0.21,0.76
211,1,0.21,0.76
216,1,0.21,0.76
221,1,0.21,0.76
226,1,0.21,0.76
231,1,0.21,0.76
236,1,0.21,0.76
241,1,0.21,0.76
246,1,0.21,0.76
251,1,0.21,0.76
256,1,0.21,0.76
261,1,0.21,0.76
266,1,0.21,0.76
271,1,0.21,0.76
276,1,0.21,0.76
281,1,0.21,0.76
286,1,0.21,0.76
291,1,0.21,0.76
296,1,0.21,0.76
301,1,0.21,0.76
