tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.9
11,1,0.21,0.9
16,1,0.21,0.9
21,1,0.21,0.9
26,1,0.21,0.9
31,1,0.21,0.9
36,1,0.21,0.9
41,1,0.21,0.9
46,1,0.21,0.9
51,1,0.21,0.9
56,1,0.21,0.9
61,1,0.21,0.9
66,1,0.21,0.9
71,1,0.21,0.9
76,1,0.21,0.9
81,1,0.21,0.9
86,1,0.21,0.9
91,1,0.21,0.9
96,1,0.21,0.9
101,1,0.21,0.9
106,1,0.21,0.9
111,1,0.21,0.9
116,1,0.21,0.9
121,1,0.21,0.9
126,1,0.21,0.9
131,1,0.21,0.9
136,1,0.21,0.9
141,1,0.21,0.9
146,1,0.21,0.9
151,1,0.21,0.9
156,1,0.21,0.9
161,1,0.21,0.9
166,1,0.21,0.9
171,1,0.21,0.9
176,1,0.21,0.9
181,1,0.21,0.9
186,1,0.21,0.9
191,1,0.21,0.9
196,1,0.21,0.9
201,1,0.21,0.9
206,1,0.21,0.9
211,1,0.21,0.9
216,1,0.21,0.9
221,1,0.21,0.9
226,1,0.21,0.9
231,1,0.21,0.9
236,1,0.21,0.9
241,1,0.21,0.9
246,1,0.21,0.9
251,1,0.21,0.9
256,1,0.21,0.9
261,1,0.21,0.9
266,1,0.21,0.9
271,1,0.21,0.9
276,1,0.21,0.9
281,1,0.21,0.9
286,1,0.21,0.9
291,1,0.21,0.9
296,1,0.21,0.9
301,1,0.21,0.9
