tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.92
11,1,0.21,0.92
16,1,0.21,0.92
21,1,0.21,0.92
26,1,0.21,0.92
31,1,0.21,0.92
36,1,0.21,0.92
41,1,0.21,0.92
46,1,0.21,0.92
51,1,0.21,0.92
56,1,0.21,0.92
61,1,0.21,0.92
66,1,0.21,0.92
71,1,0.21,0.92
76,1,0.21,0.92
81,1,0.21,0.92
86,1,0.21,0.92
91,1,0.21,0.92
96,1,0.21,0.92
101,1,0.21,0.92
106,1,0.21,0.92
111,1,0.21,0.92
116,1,0.21,0.92
121,1,0.21,0.92
126,1,0.21,0.92
131,1,0.21,0.92
136,1,0.21,0.92
141,1,0.21,0.92
146,1,0.21,0.92
151,1,0.21,0.92
156,1,0.21,0.92
161,1,0.21,0.92
166,1,0.21,0.92
171,1,0.21,0.92
176,1,0.21,0.92
181,1,0.21,0.92
186,1,0.21,0.92
191,1,0.21,0.92
196,1,0.21,0.92
201,1,0.21,0.92
206,1,0.21,0.92
211,1,0.21,0.92
216,1,0.21,0.92
221,1,0.21,0.92
226,1,0.21,0.92
231,1,0.21,0.92
236,1,0.21,0.92
241,1,0.21,0.92
246,1,0.21,0.92
251,1,0.21,0.92
256,1,0.21,0.92
261,1,0.21,0.92
266,1,0.21,0.92
271,1,0.21,0.92
276,1,0.21,0.92
281,1,0.21,0.92
286,1,0.21,0.92
291,1,0.21,0.92
296,1,0.21,0.92
301,1,0.21,0.92
