tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.6666666666666667
11,1,0.21,0.6666666666666667
16,1,0.21,0.6666666666666667
21,1,0.21,0.6666666666666667
26,1,0.21,0.6666666666666667
31,1,0.21,0.6666666666666667
36,1,0.21,0.6666666666666667
41,1,0.21,0.6666666666666667
46,1,0.21,0.6666666666666667
51,1,0.21,0.6666666666666667
56,1,0.21,0.6666666666666667
61,1,0.21,0.6666666666666667
66,1,0.21,0.6666666666666667
71,1,0.21,0.6666666666666667
76,1,0.21,0.6666666666666667
81,1,0.21,0.6666666666666667
86,1,0.21,0.6666666666666667
91,1,0.21,0.6666666666666667
96,1,0.21,0.6666666666666667
101,1,0.21,0.6666666666666667
106,1,0.21,0.6666666666666667
111,1,0.21,0.6666666666666667
116,1,0.21,0.6666666666666667
121,1,0.21,0.6666666666666667
126,1,0.21,0.6666666666666667
131,1,0.21,0.6666666666666667
136,1,0.21,0.6666666666666667
141,1,0.21,0.6666666666666667
146,1,0.21,0.6666666666666667
151,1,0.21,0.6666666666666667
156,1,0.21,0.6666666666666667
161,1,0.21,0.6666666666666667
166,1,0.21,0.6666666666666667
171,1,0.21,0.6666666666666667
176,1,0.21,0.6666666666666667
181,1,0.21,0.6666666666666667
186,1,0.21,0.6666666666666667
191,1,0.21,0.6666666666666667
196,1,0.21,0.6666666666666667
201,1,0.21,0.6666666666666667
206,1,0.21,0.6666666666666667
211,1,0.21,0.6666666666666667
216,1,0.21,0.6666666666666667
221,1,0.21,0.6666666666666667
226,1,0.21,0.6666666666666667
231,1,0.21,0.6666666666666667
236,1,0.21,0.6666666666666667
241,1,0.21,0.6666666666666667
246,1,0.21,0.6666666666666667
251,1,0.21,0.6666666666666667
256,1,0.21,0.6666666666666667
261,1,0.21,0.6666666666666667
266,1,0.21,0.6666666666666667
271,1,0.21,0.6666666666666667
276,1,0.21,0.6666666666666667
281,1,0.21,0.6666666666666667
286,1,0.21,0.6666666666666667
291,1,0.21,0.6666666666666667
296,1,0.21,0.6666666666666667
301,1,0.21,0.6666666666666667
