tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.61
11,1,0.21,0.61
16,1,0.21,0.61
21,1,0.21,0.61
26,1,0.21,0.61
31,1,0.21,0.61
36,1,0.21,0.61
41,1,0.21,0.61
46,1,0.21,0.61
51,1,0.21,0.61
56,1,0.21,0.61
61,1,0.21,0.61
66,1,0.21,0.61
71,1,0.21,0.61
76,1,0.21,0.61
81,1,0.21,0.61
86,1,0.21,0.61
91,1,0.21,0.61
96,1,0.21,0.61
101,1,0.21,0.61
106,1,0.21,0.61
111,1,0.21,0.61
116,1,0.21,0.61
121,1,0.21,0.61
126,1,0.21,0.61
131,1,0.21,0.61
136,1,0.21,0.61
141,1,0.21,0.61
146,1,0.21,0.61
151,1,0.21,0.61
156,1,0.21,0.61
161,1,0.21,0.61
166,1,0.21,0.61
171,1,0.21,0.61
176,1,0.21,0.61
181,1,0.21,0.61
186,1,0.21,0.61
191,1,0.21,0.61
196,1,0.21,0.61
201,1,0.21,0.61
206,1,0.21,0.61
211,1,0.21,0.61
216,1,0.21,0.61
221,1,0.21,0.61
226,1,0.21,0.61
231,1,0.21,0.61
236,1,0.21,0.61
241,1,0.21,0.61
246,1,0.21,0.61
251,1,0.21,0.61
256,1,0.21,0.61
261,1,0.21,0.61
266,1,0.21,0.61
271,1,0.21,0.61
276,1,0.21,0.61
281,1,0.21,0.61
286,1,0.21,0.61
291,1,0.21,0.61
296,1,0.21,0.61
301,1,0.21,0.61
